# Time-averaged data for fix RD_OUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
1000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 0.0241117 0.0036
41 0.945 0.101937 0.0196
42 0.968333 0.434449 0.0912
43 0.991667 0.828492 0.2344
44 1.015 1.39612 0.4872
45 1.03833 1.75415 0.8196
46 1.06167 2.22507 1.2604
47 1.085 2.34886 1.7464
48 1.10833 2.27509 2.2376
49 1.13167 2.31374 2.7584
50 1.155 1.99943 3.2272
51 1.17833 1.90628 3.6924
52 1.20167 1.75101 4.1368
53 1.225 1.56968 4.5508
54 1.24833 1.56559 4.9796
55 1.27167 1.33556 5.3592
56 1.295 1.25666 5.7296
57 1.31833 1.25971 6.1144
58 1.34167 1.14042 6.4752
59 1.365 1.04435 6.8172
60 1.38833 1.03434 7.1676
61 1.41167 0.970736 7.5076
62 1.435 0.932794 7.8452
63 1.45833 0.856098 8.1652
64 1.48167 0.852155 8.494
65 1.505 0.805841 8.8148
66 1.52833 0.808705 9.1468
67 1.55167 0.821431 9.4944
68 1.575 0.793604 9.8404
69 1.59833 0.719823 10.1636
70 1.62167 0.839455 10.5516
71 1.645 0.806559 10.9352
72 1.66833 0.778432 11.316
73 1.69167 0.759493 11.698
74 1.715 0.832595 12.1284
75 1.73833 0.844286 12.5768
76 1.76167 0.833803 13.0316
77 1.785 0.845718 13.5052
78 1.80833 0.876928 14.0092
79 1.83167 0.835735 14.502
80 1.855 0.910084 15.0524
81 1.87833 0.975343 15.6572
82 1.90167 0.960366 16.2676
83 1.925 0.99373 16.9148
84 1.94833 1.01264 17.5904
85 1.97167 1.00872 18.2796
86 1.995 1.0962 19.0464
87 2.01833 1.06653 19.81
88 2.04167 1.13292 20.64
89 2.065 1.13575 21.4912
90 2.08833 1.1079 22.3404
91 2.11167 1.13306 23.2284
92 2.135 1.11892 24.1248
93 2.15833 1.11782 25.04
94 2.18167 1.11364 25.9716
95 2.205 1.12952 26.9368
96 2.22833 1.07619 27.876
97 2.25167 1.16937 28.918
98 2.275 1.0967 29.9156
99 2.29833 1.07023 30.9092
100 2.32167 1.04503 31.8992
101 2.345 1.05662 32.9204
102 2.36833 1.04726 33.9528
103 2.39167 1.02096 34.9792
104 2.415 0.992741 35.9968
105 2.43833 0.984168 37.0252
106 2.46167 0.976491 38.0652
107 2.485 0.980721 39.1296
108 2.50833 0.989328 40.2236
109 2.53167 0.982894 41.3308
110 2.555 0.92493 42.392
111 2.57833 0.952087 43.5044
112 2.60167 0.944164 44.6276
113 2.625 0.97997 45.8144
114 2.64833 0.966347 47.0056
115 2.67167 0.947628 48.1944
116 2.695 0.951032 49.4084
117 2.71833 0.960031 50.6552
118 2.74167 0.937704 51.894
119 2.765 0.960347 53.1844
120 2.78833 0.981811 54.526
121 2.81167 0.995523 55.9092
122 2.835 0.973257 57.284
123 2.85833 0.998381 58.7176
124 2.88167 0.999271 60.176
125 2.905 0.993801 61.65
126 2.92833 1.01518 63.18
127 2.95167 1.01252 64.7304
128 2.975 0.993871 66.2764
129 2.99833 1.01947 67.8872
130 3.02167 1.02672 69.5348
131 3.045 1.03093 71.2148
132 3.06833 1.03199 72.9224
133 3.09167 1.06647 74.714
134 3.115 1.05079 76.506
135 3.13833 1.00981 78.254
136 3.16167 1.03434 80.0712
137 3.185 1.0354 81.9172
138 3.20833 1.00049 83.7272
139 3.23167 1.02097 85.6012
140 3.255 1.01948 87.4996
141 3.27833 1.01307 89.4132
142 3.30167 1.01154 91.3512
143 3.325 1.0118 93.3172
144 3.34833 1.0079 95.3032
145 3.37167 1.0006 97.3024
146 3.395 1.00309 99.3344
147 3.41833 0.999958 101.388
148 3.44167 1.00239 103.475
149 3.465 1.00297 105.591
150 3.48833 0.99109 107.711
